apa_mm,aoh_mm,ester_mm,amox_mm,amox_hid
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,0.10567163008448383
0.0,0.0,0.0,15.0,0.17028766473863977
0.0,0.0,0.0,25.0,0.20779405544288027
0.0,0.0,0.0,40.0,0.2603009301282375
0.0,0.0,0.0,5.0,0.10577798322916712
0.0,0.0,0.0,15.0,0.1702413308632823
0.0,0.0,0.0,25.0,0.20756390590951546
0.0,0.0,0.0,40.0,0.26010785402198305
0.0,5.0,0.0,5.0,0.0490776948710227
0.0,5.0,0.0,15.0,0.11322640865000697
0.0,5.0,0.0,25.0,0.16723509515346724
0.0,5.0,0.0,40.0,0.18586146003990403
0.0,15.0,0.0,5.0,0.05019059761496625
0.0,15.0,0.0,15.0,0.10222067820614586
0.0,15.0,0.0,25.0,0.16698777446096935
0.0,15.0,0.0,40.0,0.19971141881978866
0.0,0.0,0.0,10.0,0.3081883989698093
0.0,0.0,0.0,20.0,0.4178785217722111
0.0,0.0,0.0,30.0,0.4765858259487895
0.0,0.0,0.0,40.0,0.5115738220848345
0.0,0.0,0.0,50.0,0.5348083651232088
0.0,0.0,0.0,60.0,0.5515759416555062
6.0,0.0,0.0,6.5,0.25423640284456706
6.0,0.0,0.0,12.5,0.35194009386107716
6.0,0.0,0.0,20.0,0.40019462388815935
6.0,0.0,0.0,28.0,0.45115477826230754
6.0,0.0,0.0,55.0,0.5114246328103687
12.0,0.0,0.0,6.5,0.24592083382040753
12.0,0.0,0.0,12.5,0.34764205145323096
12.0,0.0,0.0,20.0,0.3952888236923126
12.0,0.0,0.0,35.75,0.46216015424107043
12.0,0.0,0.0,55.0,0.5013180037098306
24.0,0.0,0.0,6.5,0.18823356812867897
24.0,0.0,0.0,12.5,0.3226545775617373
24.0,0.0,0.0,20.0,0.4087730534832677
100.0,0.0,0.0,5.0,0.09077982808027862
100.0,0.0,0.0,11.0,0.18781485370539963
100.0,0.0,0.0,22.5,0.3060852603887266
100.0,0.0,0.0,52.5,0.4010526563163216
0.0,0.0,0.0,5.0,0.10647383404536495
0.0,0.0,0.0,15.0,0.17072977169698522
0.0,0.0,0.0,25.0,0.20808296753935013
0.0,0.0,0.0,40.0,0.26034920761527136
0.0,0.0,20.0,10.0,0.0293828085169473
0.0,0.0,20.0,20.0,0.07253975296575482
0.0,0.0,20.0,40.0,0.07628655884313457
0.0,0.0,40.0,10.0,0.012861976795009056
0.0,0.0,40.0,20.0,0.09023868431180876
0.0,0.0,40.0,40.0,0.08346137357975014
0.0,0.0,0.0,15.0,0.171723
0.0,0.0,0.0,25.0,0.208859
0.0,0.0,0.0,40.0,0.261208
0.0,15.0,0.0,5.0,0.0514894
0.0,15.0,0.0,15.0,0.103191
0.0,15.0,0.0,25.0,0.16734
0.0,15.0,0.0,40.0,0.199894
0.0,5.0,0.0,5.0,0.0486022
0.0,5.0,0.0,15.0,0.113978
0.0,5.0,0.0,25.0,0.166452
0.0,5.0,0.0,40.0,0.187097
0.0,0.0,40.0,10.0,0.0122595
0.0,0.0,40.0,20.0,0.089642
0.0,0.0,40.0,40.0,0.0838488
0.0,0.0,20.0,10.0,0.029697
0.0,0.0,20.0,20.0,0.0727273
0.0,0.0,20.0,40.0,0.0769697
100.0,0.0,0.0,15.0,0.111351
100.0,0.0,0.0,25.0,0.137459
100.0,0.0,0.0,40.0,0.169622