apa_mm,aoh_mm,amox_mm,ester_mm,amox_sis
20.0,0.0,0.0,30.0,0.028585613537211063
60.0,0.0,0.0,30.0,0.04624655611592887
100.0,0.0,0.0,30.0,0.04268188579913046
5.0,0.0,0.0,55.0,0.03845364559270434
20.0,0.0,0.0,55.0,0.07481631579719134
60.0,0.0,0.0,55.0,0.1353447104406056
5.0,0.0,0.0,80.0,0.05377328773946105
20.0,0.0,0.0,80.0,0.11345183134779309
60.0,0.0,0.0,80.0,0.16882238847485798
100.0,0.0,0.0,80.0,0.13921136884897473
5.0,0.0,0.0,5.0,0.011381991824366666
5.0,0.0,0.0,10.0,0.012707083370645661
5.0,0.0,0.0,30.0,0.05222425792856522
5.0,0.0,0.0,40.0,0.05696514101636335
5.0,0.0,0.0,55.0,0.053784921305293804
20.0,0.0,0.0,5.0,0.006785580523211487
20.0,0.0,0.0,30.0,0.028547358051737887
20.0,0.0,0.0,55.0,0.07484559506896526
20.0,0.0,0.0,80.0,0.11313262244577726
60.0,0.0,0.0,10.0,0.024978278179675156
60.0,0.0,0.0,30.0,0.046209189398944917
60.0,0.0,0.0,50.0,0.13522589483008576
60.0,0.0,0.0,80.0,0.16877342104350251
100.0,0.0,0.0,30.0,0.04168866856722414
100.0,0.0,0.0,55.0,0.04396858005705501
100.0,0.0,0.0,70.0,0.11011335842916598
100.0,0.0,0.0,80.0,0.13881216598574606
5.0,0.0,0.0,5.0,0.0106993
5.0,0.0,0.0,10.0,0.0123261
5.0,0.0,0.0,40.0,0.0521881
5.0,0.0,0.0,55.0,0.0380984
5.0,0.0,0.0,80.0,0.0565409
100.0,0.0,0.0,30.0,0.0422093
100.0,0.0,0.0,40.0,0.0291279
100.0,0.0,0.0,55.0,0.0448256
100.0,0.0,0.0,70.0,0.111105
100.0,0.0,0.0,80.0,0.139884
20.0,0.0,0.0,5.0,0.00646707
20.0,0.0,0.0,30.0,0.0287425
20.0,0.0,0.0,55.0,0.0747305
20.0,0.0,0.0,80.0,0.113533