apa_mm,aoh_mm,amox_mm,ester_mm,ester_hid
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,0.08419726312798897
0.0,0.0,0.0,20.0,0.1250331484078076
0.0,0.0,0.0,40.0,0.1663261518064302
0.0,0.0,10.0,10.0,0.06310647184750065
0.0,0.0,10.0,20.0,0.09014169705004965
0.0,0.0,10.0,40.0,0.13063146517559915
0.0,0.0,20.0,10.0,0.058633283453431134
0.0,0.0,20.0,40.0,0.09544891502266364
0.0,0.0,40.0,20.0,0.06160815832436073
0.0,0.0,40.0,40.0,0.09127351418882743
20.0,0.0,0.0,5.0,0.083258
20.0,0.0,0.0,20.0,0.123953
20.0,0.0,0.0,40.0,0.165814
60.0,0.0,0.0,10.0,0.00682171
60.0,0.0,0.0,30.0,0.00620155
60.0,0.0,0.0,50.0,0.0192248
60.0,0.0,0.0,80.0,0.0148837
0.0,0.0,0.0,5.0,0.0108527
0.0,0.0,0.0,30.0,0.0914729
0.0,0.0,0.0,55.0,0.142636
0.0,0.0,0.0,80.0,0.173643