apa_t ,apa_mm             ,amox_t ,amox_mm            ,ester_t ,ester_mm          ,aoh_t ,aoh_mm
    0.0 ,60.0               ,     0.0 , 0.0               ,      0.0 ,80.00             ,    0.0 , 0.0
   60.0 ,54.652132701957115 ,    60.0 , 5.425327518642703 ,     60.0 ,71.91196911898642 ,   60.0 , 2.6922492894216106
  120.0 ,50.5827058997245   ,   120.0 , 9.82701288189439  ,    120.0 ,63.93147932914077 ,  120.0 , 5.119253583346051
  180.0 ,45.50726688899308  ,   180.0 ,14.752861251358766 ,    180.0 ,56.60514171948036 ,  180.0 , 8.127497721292798
  240.0 ,42.87378970116702  ,   240.0 ,17.382899427485462 ,    240.0 ,50.23570936605101 ,  240.0 ,11.524190217569256
  300.0 ,41.854215503286255 ,   300.0 ,18.421125726467764 ,    300.0 ,44.64566603046338 ,  300.0 ,15.028711673885951
  360.0 ,40.4260995868975   ,   360.0 ,19.826267380673507 ,    360.0 ,40.10649487353628 ,  360.0 ,18.69719451562031
  420.0 ,40.09858510177185  ,   420.0 ,20.365240069330888 ,    420.0 ,36.43676656289268 ,  420.0 ,22.560769274369804
  480.0 ,41.024358600110304 ,   480.0 ,19.85711031694784  ,    480.0 ,33.33572105980806 ,  480.0 ,26.137318479474416
  540.0 ,42.27842273876919  ,   540.0 ,18.49351021808684  ,    540.0 ,31.13007827896515 ,  540.0 ,29.526505674969172
  600.0 ,43.55578148473766  ,   600.0 ,17.414273488018274 ,    600.0 ,29.00350907718599 ,  600.0 ,33.05580325622337